Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of December 31, 2016",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File (as of November 2016), Civilian Deployment (as of November 2016)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,476",99,149,"2,781",878,"8,383","9,834","4,803",328,712,"2,253","1,276",126,"19,332","17,650",104,5,"2,415","3,427","23,601","51,316"
,ALASKA,"9,875",52,18,"6,967","1,921","18,833","1,728",405,55,54,"2,037",313,44,"4,636","2,229",23,0,"2,453",310,"5,015","28,484"
,ARIZONA,"4,049",366,"4,297","8,701",7,"17,420","5,208","3,301",873,628,"2,457","2,106",1,"14,574","3,962",182,471,"3,090","1,191","8,896","40,890"
,ARKANSAS,121,6,163,"3,377",21,"3,688","6,765","1,887",157,149,"1,797",479,0,"11,234","2,244",6,0,"1,012",104,"3,366","18,288"
,ARMED FORCES EUROPE,568,"36,437",17,162,163,"37,347",0,3,261,0,0,0,0,264,0,0,0,0,0,0,"37,611"
,ARMED FORCES PACIFIC,0,"55,263","2,371",0,0,"57,634",0,1,241,0,0,0,0,242,0,0,0,0,0,0,"57,876"
,ARMED FORCES THE AMERICAS,0,"9,639",0,0,25,"9,664",0,0,62,0,0,0,0,62,0,0,0,0,0,0,"9,726"
,CALIFORNIA,"6,879","40,663","55,718","17,139","4,442","124,841","13,970","16,326","7,979","5,122","4,450","7,625",880,"56,352","8,795","32,569","4,428","9,943","6,125","61,860","243,053"
,COLORADO,"24,764",754,223,"8,378",46,"34,165","3,496","3,770",901,387,"1,590","3,009",11,"13,164","4,287",62,3,"5,696","1,505","11,553","58,882"
,CONNECTICUT,113,"3,598",56,32,620,"4,419","3,502","1,288",389,267,"1,073",1,73,"6,593",508,"1,120",0,254,649,"2,531","13,543"
,DELAWARE,71,17,12,"3,149",38,"3,287","1,552",514,130,172,"1,129","1,540",6,"5,043",214,2,2,"1,081",118,"1,417","9,747"
,DISTRICT OF COLUMBIA,"1,614","2,573","2,212","1,694","1,659","9,752","1,426",506,160,372,"1,227",274,153,"4,118","1,345","10,562",44,299,775,"13,025","26,895"
,FLORIDA,"5,366","19,572","3,650","21,071","4,573","54,232","8,655","10,336","5,542","1,453","2,080","6,524",831,"35,421","3,642","12,407",265,"12,282","2,176","30,772","120,425"
,GEORGIA,"44,991","3,688","1,182","8,493",482,"58,836","10,771","7,852","1,400",713,"2,709","3,037",79,"26,561","11,766","2,332","1,877","14,170","2,995","33,140","118,537"
,HAWAII,"16,499","8,299","6,765","4,980","1,245","37,788","2,899","2,491",622,57,"2,251",703,135,"9,158","5,182","9,943",631,"1,771","1,273","18,800","65,746"
,IDAHO,53,37,32,"2,649",5,"2,776","2,975",754,158,107,"1,239",23,0,"5,256",655,63,0,728,54,"1,500","9,532"
,ILLINOIS,965,"10,996",361,"4,166",131,"16,619","9,820","6,196","2,542","1,299","2,744","1,418",61,"24,080","6,854","1,042",28,"3,445","1,227","12,596","53,295"
,INDIANA,554,85,192,83,36,950,"11,472","3,102",393,599,"1,740","1,551",12,"18,869","1,902","3,524",241,855,"4,274","10,796","30,615"
,IOWA,96,22,72,28,35,253,"6,718","1,939",146,124,"1,730",0,0,"10,657",926,7,1,454,63,"1,451","12,361"
,KANSAS,"17,551",73,87,"2,960",103,"20,774","4,820","2,799",108,188,"2,027",671,14,"10,627","5,513",3,1,"1,011",336,"6,864","38,265"
,KENTUCKY,"26,300",8,84,195,163,"26,750","6,600","4,209",234,278,"1,210",3,64,"12,598","8,621",18,3,289,955,"9,886","49,234"
,LOUISIANA,"7,998",413,691,"4,666","1,210","14,978","9,443","1,847","1,199","3,742","1,525","1,396",148,"19,300","3,315",530,239,"1,566",280,"5,930","40,208"
,MAINE,49,379,25,9,582,"1,044","1,969",473,111,155,"1,116",0,58,"3,882",280,"6,322",0,279,779,"7,660","12,586"
,MARYLAND,"8,587","9,587","1,717","7,912",900,"28,703","4,513","5,772","3,465",485,"1,748","1,848",174,"18,005","16,349","16,413",114,"3,021","8,256","44,153","90,861"
