Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of December 31, 2019",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,560",69,141,"3,167",921,"8,858","9,328","4,666",294,658,"2,414","1,424",105,"18,889","18,158",107,4,"2,301","3,641","24,211","51,958"
,ALASKA,"9,872",44,21,"7,607","1,966","19,510","1,650",321,80,67,"2,152",366,40,"4,676","2,328",6,0,"2,380",283,"4,997","29,183"
,ARIZONA,"4,699",409,"4,206","10,790",8,"20,112","5,268","3,437","1,075",570,"2,554","2,531",0,"15,435","3,811",183,486,"3,391","1,216","9,087","44,634"
,ARKANSAS,137,10,153,"3,495",20,"3,815","6,515","1,693",158,130,"1,921",388,0,"10,805","2,356",9,0,"1,044",102,"3,511","18,131"
,ARMED FORCES EUROPE,0,0,0,0,0,0,0,"1,241",0,0,0,0,0,"1,241",0,0,0,0,0,0,"1,241"
,ARMED FORCES PACIFIC,0,0,0,0,0,0,0,411,0,0,0,0,0,411,0,0,0,0,0,0,411
,CALIFORNIA,"7,240","74,511","59,437","18,783","4,799","164,770","13,191","16,614","8,811","5,418","4,845","7,635",811,"57,325","9,174","34,887","4,590","9,776","6,038","64,465","286,560"
,COLORADO,"26,080",780,229,"8,774",48,"35,911","3,747","3,694","1,017",440,"1,726","3,229",18,"13,871","4,332",99,3,"5,644","1,385","11,463","61,245"
,CONNECTICUT,127,"5,401",60,38,668,"6,294","3,645","1,211",460,259,"1,176",0,93,"6,844",506,"1,195",0,211,665,"2,577","15,715"
,DELAWARE,73,16,20,"3,434",42,"3,585","1,620",511,153,149,"1,075","1,534",9,"5,051",222,2,2,"1,005",120,"1,351","9,987"
,DISTRICT OF COLUMBIA,"1,718","2,461","2,176","1,824","1,782","9,961","1,266",497,87,705,"1,328",229,190,"4,302","1,348","10,666",26,341,798,"13,179","27,442"
,FLORIDA,"5,702","28,625","3,904","23,055","4,943","66,229","9,298","10,428","6,347","1,611","2,133","6,719",815,"37,351","3,913","13,439",293,"12,498","2,348","32,491","136,071"
