Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of June 30, 2016",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File (as of November 2016), Civilian Deployment (as of November 2016)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,503",96,145,"2,616",811,"8,171","10,246","5,048",395,724,"2,180","1,282",129,"20,004","17,878",100,5,"2,412","3,335","23,730","51,905"
,ALASKA,"9,918",47,34,"7,063","1,871","18,933","1,826",429,55,53,"1,889",320,45,"4,617","2,202",24,0,"2,407",323,"4,956","28,506"
,ARIZONA,"4,213",382,"4,704","8,852",7,"18,158","5,109","3,387",838,631,"2,487","1,975",1,"14,428","3,957",187,468,"3,058","1,164","8,834","41,420"
,ARKANSAS,115,6,172,"3,453",22,"3,768","7,147","1,958",156,161,"1,721",505,0,"11,648","2,310",8,0,"1,019",109,"3,446","18,862"
,ARMED FORCES EUROPE,259,"38,884",11,142,205,"39,501",0,2,251,0,0,0,0,253,0,0,0,0,0,0,"39,754"
,ARMED FORCES PACIFIC,0,"55,471",360,3,0,"55,834",0,1,225,0,0,0,0,226,0,0,0,0,0,0,"56,060"
,ARMED FORCES THE AMERICAS,0,"9,343",0,0,25,"9,368",0,0,60,0,0,0,0,60,0,0,0,0,0,0,"9,428"
,CALIFORNIA,"7,087","40,433","55,034","17,182","4,561","124,297","13,939","16,458","7,909","4,933","4,354","7,749",890,"56,232","8,860","31,997","4,479","9,843","6,215","61,394","241,923"
,COLORADO,"22,375",742,217,"9,237",37,"32,608","3,864","3,852",880,406,"1,567","3,012",11,"13,592","4,296",60,3,"5,712","1,501","11,572","57,772"
,CONNECTICUT,106,"3,748",61,35,687,"4,637","3,489","1,479",376,253,"1,139",2,99,"6,837",518,"1,129",1,258,629,"2,535","14,009"
,DELAWARE,68,13,19,"2,951",39,"3,090","1,562",527,131,171,1071,"1,589",11,"5,062",224,2,2,"1,093",112,"1,433","9,585"
,DISTRICT OF COLUMBIA,"1,593","2,505","2,190","1,634","1,668","9,590","1,433",483,144,378,"1,210",287,151,"4,086","1,381","10,762",45,295,796,"13,279","26,955"
,FLORIDA,"5,771","21,281","3,728","21,105","4,567","56,452","8,932","10,020","5,444","1,440","1,883","6,564",853,"35,136","3,636","12,179",258,"12,293","2,152","30,518","122,106"
,GEORGIA,"45,507","3,664","1,342","8,402",452,"59,367","10,956","7,837","1,418",789,"2,721","3,070",71,"26,862","11,888","2,253","1,905","14,271","2,996","33,313","119,542"
,HAWAII,"17,412","8,306","6,790","4,946","1,273","38,727","3,041","2,439",624,56,"2,257",702,136,"9,255","5,129","9,864",649,"1,802","1,291","18,735","66,717"
,IDAHO,53,36,43,"3,078",3,"3,213","2,962",763,151,106,"1,250",24,1,"5,257",660,59,0,613,55,"1,387","9,857"
,ILLINOIS,986,"13,850",369,"4,174",145,"19,524","10,036","6,253","2,565","1,313","2,945","1,455",70,"24,637","6,803","1,049",19,"3,506","1,205","12,582","56,743"
,INDIANA,571,75,172,72,27,917,"11,511","3,199",390,576,"1,810","1,543",8,"19,037","1,913","3,558",238,887,"4,232","10,828","30,782"
,IOWA,96,21,73,26,34,250,"6,773","2,193",136,120,"1,743",0,0,"10,965",928,7,1,459,56,"1,451","12,666"
,KANSAS,"16,298",68,92,"2,929",99,"19,486","4,900","2,606",105,189,"1,943",702,21,"10,466","5,515",5,1,"1,016",343,"6,880","36,832"
