Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of June 30, 2017",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File, Civilian Deployment",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,505",126,147,"2,776",831,"8,385","9,766","4,713",292,705,"2,224","1,355",113,"19,168","17,471",108,5,"2,405","3,438","23,427","50,980"
,ALASKA,"9,806",51,25,"7,167","1,971","19,020","1,746",395,56,48,"2,021",341,43,"4,650","2,200",5,0,"2,443",300,"4,948","28,618"
,ARIZONA,"3,976",393,"4,272","8,786",5,"17,432","5,279","3,416",877,640,"2,482","2,135",1,"14,830","3,828",185,460,"3,195","1,177","8,845","41,107"
,ARKANSAS,117,4,172,"3,328",19,"3,640","6,158","1,810",149,139,"1,843",454,0,"10,553","2,266",7,0,"1,012",110,"3,395","17,588"
,ARMED FORCES EUROPE,544,"34,146",10,231,193,"35,124",0,0,127,0,0,0,0,127,0,0,0,0,0,0,"35,251"
,ARMED FORCES PACIFIC,0,"49,348",49,0,0,"49,397",0,1,245,0,0,0,0,246,0,0,0,0,0,0,"49,643"
,ARMED FORCES THE AMERICAS,0,"6,763",0,0,26,"6,789",0,0,58,0,0,0,0,58,0,0,0,0,0,0,"6,847"
,CALIFORNIA,"6,734","46,013","56,077","17,042","4,632","130,498","13,846","16,328","7,783","5,435","4,378","7,508",858,"56,136","8,821","32,459","4,360","9,892","6,011","61,543","248,177"
,COLORADO,"25,002",775,226,"9,293",40,"35,336","3,603","3,705",863,395,"1,580","2,974",10,"13,130","4,302",63,3,"5,593","1,497","11,458","59,924"
