Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of June 30, 2019",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,564",78,148,"2,761",889,"8,440","9,476","4,735",293,576,"2,373","1,418",104,"18,975","18,286",113,4,"2,461","3,529","24,393","51,808"
,ALASKA,"9,902",45,17,"7,383","2,000","19,347","1,647",317,76,64,"2,156",352,47,"4,659","2,311",5,0,"2,351",296,"4,963","28,969"
,ARIZONA,"4,352",402,"3,916","10,517",5,"19,192","5,124","3,497","1,066",561,"2,501","2,497",1,"15,247","3,771",181,489,"3,311","1,201","8,953","43,392"
,ARKANSAS,139,8,190,"3,334",19,"3,690","6,487","1,731",151,114,"1,892",400,0,"10,775","2,414",8,0,"1,004",93,"3,519","17,984"
,ARMED FORCES EUROPE,0,0,1,0,0,1,0,"1,241",0,0,0,0,0,"1,241",0,0,0,0,0,0,"1,242"
,ARMED FORCES PACIFIC,0,0,0,0,0,0,0,407,0,0,0,0,0,407,0,0,0,0,0,0,407
,CALIFORNIA,"7,074","71,383","56,024","18,604","4,921","158,006","13,057","16,493","8,846","5,408","4,736","7,590",786,"56,916","9,111","34,268","4,587","9,738","5,973","63,677","278,599"
,COLORADO,"26,024",795,225,"9,657",43,"36,744","3,664","3,581","1,019",496,"1,641","3,200",17,"13,618","4,367",90,5,"5,537","1,393","11,392","61,754"
,CONNECTICUT,105,"4,983",66,39,836,"6,029","3,538","1,244",464,267,"1,165",1,96,"6,775",537,"1,168",0,201,653,"2,559","15,363"
,DELAWARE,69,18,19,"3,435",40,"3,581","1,571",502,144,153,"1,075","1,546",9,"5,000",238,3,2,"1,013",120,"1,376","9,957"
,DISTRICT OF COLUMBIA,"1,616","2,419","2,184","1,686","1,769","9,674","1,246",473,65,708,"1,340",240,171,"4,243","1,351","10,641",28,339,762,"13,121","27,038"
,FLORIDA,"5,782","27,619","3,884","22,437","5,009","64,731","9,189","10,380","6,227","1,639","2,150","6,631",787,"37,003","3,850","13,198",284,"12,362","2,215","31,909","133,643"
,GEORGIA,"47,914","5,886","1,352","9,289",474,"64,915","11,145","7,864","1,532",764,"2,816","3,145",68,"27,334","11,889","2,497","2,008","15,267","2,931","34,592","126,841"
,HAWAII,"15,605","13,758","7,071","5,309","1,283","43,026","2,919","2,384",690,302,"2,306",747,129,"9,477","5,127","10,908",622,"1,480","1,221","19,358","71,861"
,IDAHO,66,40,43,"3,417",4,"3,570","3,089",758,182,113,"1,336",24,0,"5,502",699,73,0,688,44,"1,504","10,576"
,ILLINOIS,983,"14,474",430,"4,424",145,"20,456","10,202","6,403","2,056","1,312","2,914","1,517",78,"24,482","6,963","1,018",31,"2,905","1,148","12,065","57,003"
,INDIANA,596,125,196,92,33,"1,042","10,910","2,794",394,612,"1,877","1,606",7,"18,200","1,941","3,956",292,787,"4,588","11,564","30,806"
,IOWA,116,31,76,30,32,285,"6,643","2,095",153,156,"1,882",0,0,"10,929",986,5,2,394,61,"1,448","12,662"
,KANSAS,"18,234",89,98,"3,188",78,"21,687","4,290","2,507",135,194,"2,166",739,18,"10,049","5,584",4,0,"1,029",325,"6,942","38,678"
,KENTUCKY,"33,149",30,97,242,165,"33,683","6,399","4,120",331,242,"1,253",4,47,"12,396","8,528",21,3,293,932,"9,777","55,856"
,LOUISIANA,"8,023",420,753,"5,291","1,222","15,709","9,865","1,878","1,150","1,190","1,535","1,349",120,"17,087","3,319",556,237,"1,586",262,"5,960","38,756"
,MAINE,50,71,26,10,686,843,"1,876",333,104,170,"1,115",0,56,"3,654",291,"7,118",0,253,795,"8,457","12,954"
,MARYLAND,"8,460","10,437","1,966","8,401",872,"30,136","4,492","5,906","3,881",593,"1,911","1,875",169,"18,827","16,642","17,598",128,"3,077","8,387","45,832","94,795"
,MASSACHUSETTS,382,420,232,"1,120","1,607","3,761","5,794","3,408",302,867,"2,194","1,983",396,"14,944","2,283",155,5,"3,251",816,"6,510","25,215"
,MICHIGAN,453,247,195,104,"1,102","2,101","8,113","2,946",927,899,"2,380",1,88,"15,354","7,004",32,10,676,"1,593","9,315","26,770"
,MINNESOTA,193,150,128,52,125,648,"11,104","3,006",628,436,"2,262","1,397",29,"18,862","1,411",18,1,819,163,"2,412","21,922"
,MISSISSIPPI,479,"4,941",479,"6,169",254,"12,322","9,289","1,843",583,88,"2,603","1,560",122,"16,088","3,698","2,520",0,"2,557",300,"9,075","37,485"
,MISSOURI,"9,442",287,"1,680","4,199",184,"15,792","9,186","4,699","1,204",740,"2,242","1,061",83,"19,215","5,700",48,107,"1,214",681,"7,750","42,757"
,MONTANA,68,5,25,"3,237",0,"3,335","2,393",617,113,78,951,24,0,"4,176",490,0,0,709,41,"1,240","8,751"
,NEBRASKA,155,351,83,"5,635",16,"6,240","3,116","1,148",273,139,981,323,0,"5,980","1,343",36,4,"2,585",101,"4,069","16,289"
,NEVADA,183,949,59,"10,267",0,"11,458","3,196","1,463",475,202,"1,194","1,257",0,"7,787",470,289,0,"1,635",160,"2,554","21,799"
,NEW HAMPSHIRE,53,987,36,144,168,"1,388","1,567","1,006",286,191,"1,094",1,6,"4,151",472,11,2,342,179,"1,006","6,545"
,NEW JERSEY,658,481,399,"4,826","1,617","7,981","5,964","4,126","1,282","1,203","2,376","2,310",233,"17,494","5,004","2,427",10,"1,885",580,"9,906","35,381"
,NEW MEXICO,375,70,66,"12,038",4,"12,553","2,795",720,219,82,"1,004",223,0,"5,043","2,233",112,1,"3,613",361,"6,320","23,916"
,NEW YORK,"17,217","1,152",699,408,"1,024","20,500","10,024","7,976","1,858","1,830","5,538","1,316",376,"28,918","6,949",101,30,"2,044","1,934","11,058","60,476"
,NORTH CAROLINA,"44,914","4,604","43,199","6,759","1,709","101,185","9,564","5,995","1,231","1,028","1,418","1,603",187,"21,026","10,641","5,044","2,791","1,214","2,445","22,135","144,346"
,NORTH DAKOTA,19,4,15,"7,307",0,"7,345","2,909",176,67,64,"1,115",34,0,"4,365",501,2,1,"1,148",65,"1,717","13,427"
,OHIO,539,243,292,"5,417",401,"6,892","11,485","5,476","1,332",987,"5,073","3,567",228,"28,148","1,513",113,4,"15,254","9,513","26,397","61,437"
,OKLAHOMA,"11,827","1,487",478,"7,267",21,"21,080","6,373","1,953",460,328,"2,194","1,826",0,"13,134","5,572",140,8,"17,463","1,770","24,953","59,167"
,OREGON,107,164,129,153,"1,080","1,633","5,381",536,514,338,"2,359",115,86,"9,329","2,316",21,3,588,23,"2,951","13,913"
,PENNSYLVANIA,877,652,410,219,332,"2,490","14,236","7,364",940,"1,402","4,092","1,277",123,"29,434","8,579","7,255",16,"1,162","8,050","25,062","56,986"
,RHODE ISLAND,125,"2,484",198,65,304,"3,176","1,973",500,625,94,"1,043",2,48,"4,285",229,"4,434",2,160,107,"4,932","12,393"
,SOUTH CAROLINA,"9,662","7,535","9,430","8,644",862,"36,133","9,186","3,951",637,407,"1,243","2,181",136,"17,741","3,476","3,742",772,"2,007",669,"10,666","64,540"
,SOUTH DAKOTA,76,2,16,"3,350",0,"3,444","3,146",329,83,0,"1,103",20,0,"4,681",523,1,0,752,45,"1,321","9,446"
,TENNESSEE,364,"1,459",162,161,161,"2,307","9,021","3,535","1,344",716,"3,427",5,47,"18,095","3,186","1,261",3,"1,102",491,"6,043","26,445"
,TEXAS,"73,102","6,162","2,283","39,320","1,773","122,640","17,783","18,152","5,510","3,333","3,326","6,010",318,"54,432","24,923","1,404",31,"16,772","4,484","47,614","224,686"
,UTAH,190,41,100,"4,192",0,"4,523","5,555","2,988",423,235,"1,456","1,375",0,"12,032","1,915",48,2,"12,351","1,129","15,445","32,000"
,VERMONT,51,18,11,48,38,166,"2,272",133,51,0,953,0,0,"3,409",266,2,0,240,30,538,"4,113"
,VIRGINIA,"21,996","80,328","11,671","12,500","4,225","130,720","7,182","7,785","5,032","1,875","1,431","1,958",427,"25,690","17,844","42,150","5,219","6,180","25,002","96,395","252,805"
,WASHINGTON,"26,869","24,656",777,"6,356","2,041","60,699","5,337","5,533","2,335",650,"1,959","1,828",299,"17,941","9,246","20,005",3,"1,446","1,250","31,950","110,590"
,WEST VIRGINIA,66,3,37,26,71,203,"4,100","1,818",75,91,"2,108",0,10,"8,202","1,259",3,0,435,38,"1,735","10,140"
,WISCONSIN,485,57,124,100,281,"1,047","7,120","3,871",417,462,"2,258",0,88,"14,216","1,876",65,2,497,115,"2,555","17,818"
,WYOMING,33,1,8,"3,130",0,"3,172","1,532",75,79,0,"1,227",52,0,"2,965",237,2,0,768,37,"1,044","7,181"
,ZZ-UNKNOWN,"6,010",0,0,0,0,"6,010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,010"
UNITED STATES TOTAL,,"419,793","293,051","152,203","272,759","39,925","1,177,731","323,525","184,771","58,264","34,399","104,744","68,190","6,040","779,933","239,364","194,870","17,749","166,945","99,101","718,029","2,675,693"
OVERSEAS,AFGHANISTAN*, , , , , , , , , , , , , , , , , , , , , 
,AKROTIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,64,64
,ALBANIA,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,ALGERIA,4,3,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,AMERICAN SAMOA,3,0,2,0,0,5,0,311,0,0,0,0,0,311,19,0,0,0,0,19,335
,ANGOLA,3,0,9,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,ARGENTINA,1,4,9,8,1,23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,24
,ARMENIA,1,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,AUSTRALIA,34,686,"1,546",86,0,"2,352",0,0,0,0,0,0,0,0,3,9,0,6,3,21,"2,373"
,AUSTRIA,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,AZERBAIJAN,1,2,1,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,"BAHAMAS, THE",1,45,6,0,11,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
,BAHRAIN,17,"3,366",623,25,340,"4,371",0,0,24,1,0,0,0,25,16,303,0,1,149,469,"4,865"
,BANGLADESH,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,BARBADOS,1,0,7,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,BELGIUM,629,41,10,379,1,"1,060",0,0,0,0,0,5,0,5,388,0,0,12,320,720,"1,785"
,BELIZE,0,1,8,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,BOLIVIA,2,0,8,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,BOSNIA AND HERZEGOVINA,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,BOTSWANA,4,0,7,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,BRAZIL,10,10,26,8,1,55,0,0,0,0,0,0,0,0,4,2,0,1,0,7,62
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BRITISH INDIAN OCEAN TERRITORY,0,285,0,35,0,320,0,0,0,0,0,0,0,0,0,4,0,0,0,4,324
,BRUNEI,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BULGARIA,3,4,0,4,0,11,0,0,0,0,1,0,0,1,15,0,0,2,0,17,29
,BURKINA FASO,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,BURMA,4,1,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,BURUNDI,0,0,9,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,CAMBODIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CAMEROON,7,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9
,CANADA,8,43,13,75,6,145,0,0,0,0,0,0,0,0,2,7,0,1,25,35,180
,CENTRAL AFRICAN REPUBLIC,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,CHAD,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,CHILE,4,9,13,10,0,36,0,0,0,0,1,0,0,1,3,2,0,2,1,8,45
,CHINA,7,4,2,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,COLOMBIA,24,3,19,17,3,66,0,0,0,0,0,0,0,0,16,2,0,1,1,20,86
,CONGO (BRAZZAVILLE),3,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,CONGO (KINSHASA),2,0,13,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,COSTA RICA,1,1,8,0,1,11,0,0,1,0,0,0,0,1,2,0,0,0,0,2,14
,COTE DIVOIRE,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CROATIA,1,1,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5
,CUBA,144,555,120,0,6,825,0,0,0,0,0,0,0,0,18,198,0,0,61,277,"1,102"
,CYPRUS,6,0,0,11,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18
,CZECHIA,2,0,0,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6
,DENMARK,2,3,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,DJIBOUTI,1,0,52,1,0,54,0,0,0,0,0,0,0,0,0,2,0,0,1,3,57
,DOMINICAN REPUBLIC,9,0,8,3,1,21,0,0,1,0,0,0,0,1,5,0,0,0,0,5,27
,ECUADOR,11,2,14,3,1,31,0,0,0,0,0,0,0,0,2,0,0,0,0,2,33
,EGYPT,242,6,1,22,0,271,0,0,0,0,0,0,0,0,4,2,0,6,0,12,283
,EL SALVADOR,7,29,12,2,1,51,0,0,4,0,0,0,0,4,3,1,0,0,0,4,59
,ESTONIA,1,1,2,2,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7
,ETHIOPIA,6,2,9,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,FIJI,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,4,5,18,7,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
,FRANCE,26,10,4,19,0,59,0,0,0,0,0,0,0,0,3,2,0,6,0,11,70
,GABON,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,GEORGIA,9,0,2,1,0,12,0,0,0,0,0,0,0,0,4,0,0,0,1,5,17
,GERMANY,"20,736",406,"1,228","12,852",10,"35,232",0,0,12,120,9,301,0,442,"6,000",38,27,"1,227","3,936","11,228","46,902"
,GHANA,4,3,2,2,0,11,0,0,0,0,0,0,0,0,0,1,0,1,0,2,13
,GREECE,9,365,1,24,0,399,0,0,0,0,0,0,0,0,2,85,0,0,0,87,486
,GREENLAND,0,0,0,154,0,154,0,0,0,0,0,1,0,1,0,0,0,1,0,1,156
,GUAM,172,"3,386",21,"2,051",0,"5,630","1,128",489,245,0,379,259,0,"2,500",141,"1,418",6,107,623,"2,295","10,425"
,GUATEMALA,17,1,9,2,0,29,0,0,0,0,1,0,0,1,3,1,0,0,0,4,34
,GUINEA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,GUYANA,1,1,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,HAITI,2,0,7,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,HONDURAS,224,3,82,154,1,464,0,0,0,0,0,0,0,0,22,1,0,0,0,23,487
,HONG KONG,2,10,2,10,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
,HUNGARY,5,139,0,60,0,204,0,0,0,0,1,0,0,1,3,0,0,1,0,4,209
,ICELAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,INDIA,7,8,3,5,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,24
,INDONESIA,4,10,2,2,0,18,0,0,0,0,1,0,0,1,1,1,0,0,0,2,21
,IRAQ*,,,,,,,,,,,,,,,,,,,,,
,IRELAND,1,0,6,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,ISRAEL,35,5,2,15,0,57,0,0,0,0,0,0,0,0,14,1,0,1,3,19,76
