Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of March 31, 2016",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File (as of November 2016), Civilian Deployment (as of November 2016)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,605",108,140,"2,942",881,"8,676","10,309","5,079",402,691,"2,062","1,263",137,"19,943","17,714",102,5,"2,335","3,341","23,497","52,116"
,ALASKA,"10,007",47,17,"7,220","1,861","19,152","1,823",441,59,52,"1,891",355,45,"4,666","2,233",23,0,"2,424",328,"5,008","28,826"
,ARIZONA,"4,447",361,"5,227","8,744",7,"18,786","5,105","3,462",848,631,"2,513","1,888",1,"14,448","3,905",184,461,"3,065","1,147","8,762","41,996"
,ARKANSAS,114,6,180,"3,751",20,"4,071","7,124","1,997",150,161,"1,781",529,0,"11,742","2,276",8,0,"1,042",108,"3,434","19,247"
,ARMED FORCES EUROPE,252,"33,873",12,145,147,"34,429",0,2,252,0,0,0,0,254,0,0,0,0,0,0,"34,683"
,ARMED FORCES PACIFIC,0,"56,977","1,860",3,0,"58,840",0,1,246,0,0,0,0,247,0,0,0,0,0,0,"59,087"
,ARMED FORCES THE AMERICAS,0,"9,413",0,0,22,"9,435",0,0,60,0,0,0,0,60,0,0,0,0,0,0,"9,495"
,CALIFORNIA,"7,168","40,575","53,482","17,359","4,490","123,074","14,079","16,428","7,900","4,872","4,374","7,627",914,"56,194","8,812","31,550","4,459","9,918","6,201","60,940","240,208"
,COLORADO,"23,114",734,213,"8,451",42,"32,554","3,871","4,140",873,398,"1,575","2,838",12,"13,707","4,313",58,3,"5,611","1,493","11,478","57,739"
,CONNECTICUT,105,"3,917",55,33,624,"4,734","3,456","1,356",371,251,"1,127",2,78,"6,641",523,"1,115",1,254,632,"2,525","13,900"
,DELAWARE,67,15,22,"2,991",38,"3,133","1,614",513,118,175,960,"1,585",11,"4,976",224,2,2,"1,010",113,"1,351","9,460"
,DISTRICT OF COLUMBIA,"1,634","2,537","2,207","1,661","1,559","9,598","1,447",498,129,383,"1,208",288,124,"4,077","1,350","10,621",45,298,770,"13,084","26,759"
,FLORIDA,"5,529","21,377","4,101","21,021","4,570","56,598","9,186","9,970","5,407","1,405","1,920","6,507",866,"35,261","3,638","11,992",251,"12,194","2,128","30,203","122,062"
,GEORGIA,"47,350","3,598","1,360","8,084",472,"60,864","10,969","7,769","1,368",937,"2,652","3,033",67,"26,795","11,924","2,234","1,918","14,166","3,064","33,306","120,965"
,HAWAII,"17,444","8,013","6,611","4,937","1,268","38,273","3,044","2,480",637,66,"2,016",699,143,"9,085","5,111","9,776",639,"1,774","1,273","18,573","65,931"
,IDAHO,55,31,41,"2,688",3,"2,818","2,989",767,164,102,"1,283",24,1,"5,330",666,58,0,701,54,"1,479","9,627"
,ILLINOIS,986,"13,389",347,"4,132",133,"18,987","10,034","6,404","2,467","1,303","3,018","1,456",79,"24,761","6,680","1,038",15,"3,478","1,193","12,404","56,152"
,INDIANA,591,83,166,76,31,947,"11,559","3,245",389,562,"1,858","1,504",8,"19,125","1,856","3,433",232,879,"4,188","10,588","30,660"
,IOWA,92,21,71,23,36,243,"6,832","2,242",134,117,"1,667",0,0,"10,992",910,6,1,444,53,"1,414","12,649"
,KANSAS,"15,787",80,96,"2,850",100,"18,913","4,988","2,844",115,183,"1,909",689,23,"10,751","5,441",4,1,989,336,"6,771","36,435"
,KENTUCKY,"30,465",11,79,204,158,"30,917","6,801","4,176",229,278,"1,183",4,64,"12,735","8,563",17,3,280,898,"9,761","53,413"
,LOUISIANA,"7,415",422,661,"5,089","1,209","14,796","9,629","2,003","1,177","3,564","1,497","1,442",163,"19,475","3,300",535,272,"1,504",277,"5,888","40,159"
,MAINE,47,231,22,10,555,865,"2,125",508,100,144,"1,049",0,65,"3,991",305,"6,134",0,275,756,"7,470","12,326"
,MARYLAND,"8,914","9,566","1,707","7,963",881,"29,031","4,778","5,874","3,448",486,"1,711","1,726",175,"18,198","16,361","16,303",106,"2,982","8,193","43,945","91,174"
,MASSACHUSETTS,351,390,162,"1,022","1,579","3,504","6,006","3,254",278,839,"2,142","2,356",418,"15,293","2,253",168,5,"3,152",850,"6,428","25,225"
