Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of March 31, 2017",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File, Civilian Deployment",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,615",94,149,"2,956",883,"8,697","9,783","4,772",306,714,"2,238","1,336",119,"19,268","17,549",102,5,"2,407","3,428","23,491","51,456"
,ALASKA,"9,616",53,17,"6,950","1,942","18,578","1,749",399,54,49,"2,024",315,42,"4,632","2,220",6,0,"2,445",301,"4,972","28,182"
,ARIZONA,"3,979",374,"4,494","9,137",5,"17,989","5,256","3,365",858,609,"2,496","2,160",1,"14,745","3,893",186,467,"3,163","1,178","8,887","41,621"
,ARKANSAS,120,6,166,"3,460",19,"3,771","6,172","1,836",152,153,"1,837",473,0,"10,623","2,215",6,0,"1,019",107,"3,347","17,741"
,ARMED FORCES EUROPE,542,"29,387",21,239,144,"30,333",0,1,125,0,0,0,0,126,0,0,0,0,0,0,"30,459"
,ARMED FORCES PACIFIC,0,"55,054","2,149",3,0,"57,206",0,1,250,1,0,0,0,252,0,0,0,0,0,0,"57,458"
,ARMED FORCES THE AMERICAS,0,"8,772",0,0,24,"8,796",0,0,55,0,0,0,0,55,0,0,0,0,0,0,"8,851"
,CALIFORNIA,"6,741","41,286","55,000","17,004","4,527","124,558","13,689","16,404","7,870","5,170","4,376","7,532",864,"55,905","8,800","32,314","4,367","9,884","6,065","61,430","241,893"
,COLORADO,"24,779",771,222,"8,345",45,"34,162","3,554","3,902",889,394,"1,574","2,979",10,"13,302","4,278",63,3,"5,662","1,482","11,488","58,952"
,CONNECTICUT,110,"3,721",62,33,652,"4,578","3,486","1,396",402,266,951,2,76,"6,579",506,"1,128",0,242,640,"2,516","13,673"
,DELAWARE,70,17,12,"3,213",38,"3,350","1,528",513,121,166,"1,109","1,494",6,"4,937",211,2,2,"1,056",117,"1,388","9,675"
,DISTRICT OF COLUMBIA,"1,605","2,545","2,180","1,641","1,664","9,635","1,392",492,169,385,"1,261",279,149,"4,127","1,315","10,397",43,310,765,"12,830","26,592"
,FLORIDA,"5,338","19,762","3,948","21,420","4,671","55,139","9,125","10,306","5,562","1,481","2,058","6,274",838,"35,644","3,627","12,356",261,"12,244","2,179","30,667","121,450"
,GEORGIA,"46,172","3,619","1,242","8,906",490,"60,429","10,740","7,859","1,374",699,"2,687","2,854",80,"26,293","11,686","2,332","1,864","14,134","3,001","33,017","119,739"
,HAWAII,"16,309","7,981","6,904","4,933","1,256","37,383","2,900","2,424",616,264,"2,224",700,129,"9,257","5,105","9,924",622,"1,742","1,240","18,633","65,273"
,IDAHO,55,42,27,"2,505",6,"2,635","3,015",754,144,109,"1,318",24,0,"5,364",651,65,0,746,53,"1,515","9,514"
,ILLINOIS,951,"12,248",363,"4,304",134,"18,000","9,830","6,307","2,474","1,294","2,781","1,429",58,"24,173","6,818","1,020",30,"3,454","1,202","12,524","54,697"
,INDIANA,555,82,190,84,38,949,"11,511","3,074",393,613,"1,789","1,570",11,"18,961","1,767","3,519",239,861,"4,278","10,664","30,574"
,IOWA,86,17,69,31,35,238,"6,783","2,070",154,124,"1,742",0,0,"10,873",915,7,1,455,64,"1,442","12,553"
