Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of March 31, 2019",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,532",66,146,"3,088",948,"8,780","9,545","4,767",291,605,"2,357","1,414",104,"19,083","18,024",113,4,"2,452","3,483","24,076","51,939"
,ALASKA,"10,000",44,17,"7,244","1,996","19,301","1,644",333,72,66,"2,164",343,41,"4,663","2,325",6,0,"2,400",292,"5,023","28,987"
,ARIZONA,"4,359",396,"4,481","10,420",5,"19,661","5,120","3,536","1,045",585,"2,494","2,462",1,"15,243","3,759",189,486,"3,239","1,192","8,865","43,769"
,ARKANSAS,129,8,172,"3,295",20,"3,624","6,566","1,702",140,113,"1,892",402,0,"10,815","2,296",8,0,991,96,"3,391","17,830"
,ARMED FORCES EUROPE,0,0,0,0,0,0,0,"1,252",0,0,0,0,0,"1,252",0,0,0,0,0,0,"1,252"
,ARMED FORCES PACIFIC,0,0,0,0,0,0,0,394,0,0,0,0,0,394,0,0,0,0,0,0,394
,CALIFORNIA,"6,996","70,671","58,907","18,447","4,854","159,875","13,176","16,353","8,766","5,399","4,743","7,532",813,"56,782","9,033","33,974","4,567","9,636","5,975","63,185","279,842"
,COLORADO,"25,958",762,217,"8,665",43,"35,645","3,665","3,568","1,019",500,"1,639","3,181",16,"13,588","4,366",91,3,"5,500","1,394","11,354","60,587"
,CONNECTICUT,110,"5,256",57,36,648,"6,107","3,536","1,240",468,275,"1,187",1,88,"6,795",501,"1,147",0,215,629,"2,492","15,394"
,DELAWARE,62,18,18,"3,414",46,"3,558","1,542",530,142,157,"1,082","1,534",10,"4,997",242,4,2,998,113,"1,359","9,914"
,DISTRICT OF COLUMBIA,"1,582","2,441","2,168","1,742","1,761","9,694","1,247",460,53,704,"1,342",237,159,"4,202","1,332","10,370",28,340,775,"12,845","26,741"
,FLORIDA,"5,798","28,137","4,219","22,575","5,067","65,796","9,157","10,320","6,229","1,623","2,157","6,613",802,"36,901","3,785","13,019",280,"12,151","2,212","31,447","134,144"
,GEORGIA,"48,368","5,905","1,360","9,262",500,"65,395","10,976","7,754","1,516",750,"2,801","3,147",62,"27,006","11,828","2,511","1,983","15,074","3,024","34,420","126,821"
,HAWAII,"15,829","13,755","7,206","5,283","1,256","43,329","2,938","2,399",687,307,"2,297",740,133,"9,501","5,105","10,643",619,"1,492","1,205","19,064","71,894"
,IDAHO,58,38,36,"3,395",4,"3,531","3,100",746,183,117,"1,354",25,0,"5,525",699,74,0,732,43,"1,548","10,604"
,ILLINOIS,975,"13,182",398,"4,395",146,"19,096","10,155","6,297","2,024","1,329","2,941","1,505",74,"24,325","6,853","1,018",31,"2,873","1,138","11,913","55,334"
,INDIANA,573,107,183,92,35,990,"11,065","2,778",404,621,"1,893","1,597",8,"18,366","1,981","3,722",274,834,"4,537","11,348","30,704"
,IOWA,103,16,69,30,35,253,"6,622","2,061",153,162,"1,863",0,0,"10,861",962,5,2,476,59,"1,504","12,618"
,KANSAS,"18,386",74,91,"3,106",82,"21,739","4,296","2,562",130,195,"2,149",733,17,"10,082","5,503",4,0,998,335,"6,840","38,661"
,KENTUCKY,"30,988",29,90,229,162,"31,498","6,454","4,221",319,230,"1,253",3,46,"12,526","8,527",21,3,302,"1,000","9,853","53,877"
,LOUISIANA,"7,967",413,729,"5,249","1,248","15,606","9,899","1,882","1,139","1,227","1,511","1,379",126,"17,163","3,339",551,237,"1,609",251,"5,987","38,756"
,MAINE,50,56,17,9,689,821,"1,881",322,105,176,"1,134",0,59,"3,677",284,"7,027",0,307,786,"8,404","12,902"
,MARYLAND,"8,331","9,787","1,762","8,356",943,"29,179","4,535","5,847","3,861",607,"1,938","1,862",169,"18,819","16,559","17,338",116,"3,028","8,230","45,271","93,269"
,MASSACHUSETTS,396,377,227,"1,126","1,651","3,777","5,874","3,416",313,854,"2,208","1,990",390,"15,045","2,248",151,5,"3,184",800,"6,388","25,210"
,MICHIGAN,440,217,187,111,"1,138","2,093","8,154","2,836",926,920,"2,416",1,80,"15,333","6,969",30,11,752,"1,594","9,356","26,782"
,MINNESOTA,175,131,121,49,132,608,"10,972","2,954",621,456,"2,282","1,386",26,"18,697","1,369",20,1,837,164,"2,391","21,696"
,MISSISSIPPI,471,"5,131",614,"6,135",253,"12,604","9,342","1,842",591,94,"2,619","1,570",119,"16,177","3,482","2,483",0,"2,440",304,"8,709","37,490"
,MISSOURI,"9,245",279,"1,903","4,228",196,"15,851","9,254","4,633","1,192",754,"2,283","1,056",82,"19,254","5,535",46,110,"1,237",659,"7,587","42,692"
,MONTANA,59,6,24,"3,190",0,"3,279","2,410",651,115,77,942,25,0,"4,220",475,0,0,778,42,"1,295","8,794"
,NEBRASKA,154,354,87,"5,586",17,"6,198","3,119","1,160",274,145,"1,002",325,0,"6,025","1,301",35,4,"2,603",104,"4,047","16,270"
,NEVADA,174,955,59,"10,169",0,"11,357","3,171","1,456",475,201,"1,185","1,246",0,"7,734",450,289,0,"1,611",163,"2,513","21,604"
,NEW HAMPSHIRE,51,"1,004",25,161,168,"1,409","1,554","1,003",276,192,"1,116",1,6,"4,148",453,11,2,360,170,996,"6,553"
,NEW JERSEY,635,484,377,"4,778","1,506","7,780","5,921","4,051","1,276","1,217","2,395","2,308",208,"17,376","5,024","2,420",10,"1,846",577,"9,877","35,033"
,NEW MEXICO,372,69,62,"12,063",4,"12,570","2,751",734,226,90,"1,000",225,0,"5,026","2,237",110,1,"3,568",368,"6,284","23,880"
,NEW YORK,"17,141","1,363",662,390,"1,044","20,600","9,972","7,997","1,834","1,811","5,560","1,319",368,"28,861","6,949",102,32,"2,098","1,943","11,124","60,585"
,NORTH CAROLINA,"45,428","4,495","43,352","6,732","1,717","101,724","9,559","6,008","1,194","1,044","1,441","1,599",190,"21,035","10,483","4,979","2,707","1,220","2,522","21,911","144,670"
,NORTH DAKOTA,21,5,14,"7,304",0,"7,344","2,927",191,66,58,"1,107",36,0,"4,385",451,2,1,"1,153",65,"1,672","13,401"
,OHIO,532,229,280,"5,496",405,"6,942","11,334","5,484","1,328","1,008","5,092","3,595",223,"28,064","1,528",109,4,"15,031","9,484","26,156","61,162"
,OKLAHOMA,"10,954","1,464",649,"7,211",20,"20,298","6,434","1,963",463,330,"2,212","1,836",0,"13,238","5,531",139,8,"17,295","1,751","24,724","58,260"
,OREGON,117,147,120,150,"1,099","1,633","5,393",522,508,347,"2,368",121,93,"9,352","2,327",23,2,636,19,"3,007","13,992"
,PENNSYLVANIA,985,613,391,219,332,"2,540","14,314","7,343",930,"1,365","4,099","1,251",118,"29,420","8,502","7,106",19,"1,085","8,001","24,713","56,673"
,RHODE ISLAND,143,"2,746",235,67,325,"3,516","1,939",504,619,91,"1,042",3,48,"4,246",232,"4,301",2,160,106,"4,801","12,563"
,SOUTH CAROLINA,"8,750","7,336","8,328","8,552",865,"33,831","9,145","3,930",608,393,"1,262","2,190",140,"17,668","3,513","3,585",757,"2,011",720,"10,586","62,085"
,SOUTH DAKOTA,71,2,10,"3,353",0,"3,436","3,139",319,89,0,"1,113",19,0,"4,679",476,1,0,791,45,"1,313","9,428"
,TENNESSEE,375,"1,397",153,164,165,"2,254","8,903","3,596","1,325",713,"3,414",5,44,"18,000","3,128","1,233",3,"1,112",514,"5,990","26,244"
,TEXAS,"73,444","6,264","2,224","38,705","1,768","122,405","17,886","18,114","5,505","3,302","3,324","5,972",318,"54,421","24,771","1,377",31,"16,358","4,483","47,020","223,846"
,UTAH,181,39,91,"4,113",0,"4,424","5,500","2,985",411,241,"1,446","1,404",0,"11,987","1,829",47,2,"12,229","1,109","15,216","31,627"
,VERMONT,52,6,8,53,38,157,"2,323",130,56,0,943,0,0,"3,452",248,2,0,259,26,535,"4,144"
,VIRGINIA,"21,955","79,410","11,477","12,338","4,192","129,372","7,105","7,839","5,036","1,869","1,419","1,958",421,"25,647","17,761","41,475","5,183","6,100","24,779","95,298","250,317"
,WASHINGTON,"26,660","24,523",723,"6,297","2,072","60,275","5,376","5,651","2,308",660,"1,994","1,821",305,"18,115","9,321","19,878",3,"1,495","1,247","31,944","110,334"
,WEST VIRGINIA,61,3,39,27,71,201,"4,075","1,853",73,87,"2,112",0,10,"8,210","1,199",3,0,483,36,"1,721","10,132"
,WISCONSIN,454,43,116,99,295,"1,007","7,132","3,961",408,489,"2,273",0,85,"14,348","1,819",65,2,521,117,"2,524","17,879"
,WYOMING,33,1,8,"3,130",0,"3,172","1,517",67,74,0,"1,214",50,0,"2,922",248,2,0,799,36,"1,085","7,179"
,ZZ-UNKNOWN,"5,814",0,0,0,0,"5,814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,814"
UNITED STATES TOTAL,,"416,497","290,254","154,909","270,328","39,961","1,171,949","323,614","184,517","57,866","34,556","105,074","68,022","6,002","779,651","237,162","191,859","17,535","165,699","98,717","710,972","2,662,572"
OVERSEAS,AFGHANISTAN*, , , , , , , , , , , , , , , , , , , , , 
,AKROTIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,70,70
,ALBANIA,1,1,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,ALGERIA,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,AMERICAN SAMOA,4,0,1,0,0,5,0,306,0,0,0,0,0,306,19,0,0,0,0,19,330
,ANGOLA,3,0,11,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,ARGENTINA,1,4,8,9,1,23,0,0,1,0,1,0,0,2,0,0,0,0,0,0,25
,ARMENIA,1,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,AUSTRALIA,36,67,91,92,0,286,0,0,0,0,0,0,0,0,3,10,0,6,2,21,307
,AUSTRIA,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,AZERBAIJAN,1,2,2,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,"BAHAMAS, THE",1,46,8,0,11,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
,BAHRAIN,18,"3,334",654,22,242,"4,270",0,0,19,1,0,0,0,20,17,308,0,1,155,481,"4,771"
,BANGLADESH,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,BARBADOS,1,0,7,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,BELGIUM,643,40,8,370,1,"1,062",0,0,0,0,0,6,0,6,389,1,0,12,340,742,"1,810"
,BELIZE,1,1,8,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
