Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of September 30, 2016",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File (as of November 2016), Civilian Deployment (as of November 2016)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,540",94,152,"3,026",859,"8,671","9,963","5,004",342,707,"2,277","1,278",131,"19,702","17,798",102,5,"2,410","3,395","23,710","52,083"
,ALASKA,"9,752",51,18,"7,038","1,858","18,717","1,697",419,50,52,"1,991",319,45,"4,573","2,176",24,0,"2,398",316,"4,914","28,204"
,ARIZONA,"3,946",370,"5,045","8,609",7,"17,977","5,026","3,323",860,613,"2,424","2,077",1,"14,324","3,944",186,466,"3,041","1,167","8,804","41,105"
,ARKANSAS,123,7,144,"3,515",19,"3,808","6,689","1,954",155,154,"1,726",498,0,"11,176","2,268",8,0,"1,015",106,"3,397","18,381"
,ARMED FORCES EUROPE,618,"31,584",17,227,147,"32,593",0,3,223,0,0,0,0,226,0,0,0,0,0,0,"32,819"
,ARMED FORCES PACIFIC,0,"58,753","3,023",3,0,"61,779",0,1,267,0,0,0,0,268,0,0,0,0,0,0,"62,047"
,ARMED FORCES THE AMERICAS,0,"9,222",0,0,22,"9,244",0,0,59,0,0,0,0,59,0,0,0,0,0,0,"9,303"
,CALIFORNIA,"6,980","40,626","56,999","17,182","4,415","126,202","14,170","16,369","7,982","5,089","4,377","7,832",879,"56,698","8,770","32,323","4,474","9,748","6,162","61,477","244,377"
,COLORADO,"22,950",742,221,"8,559",47,"32,519","3,729","3,742",884,399,"1,588","3,071",10,"13,423","4,244",62,3,"5,638","1,501","11,448","57,390"
,CONNECTICUT,111,"3,831",59,34,644,"4,679","3,507","1,466",370,262,"1,161",1,79,"6,846",512,"1,113",1,247,637,"2,510","14,035"
,DELAWARE,72,14,12,"3,156",39,"3,293","1,555",525,135,172,1138,"1,601",8,"5,134",217,2,2,"1,051",112,"1,384","9,811"
,DISTRICT OF COLUMBIA,"1,633","2,529","2,209","1,705","1,699","9,775","1,418",500,144,367,"1,233",279,150,"4,091","1,348","10,577",45,291,762,"13,023","26,889"
,FLORIDA,"5,847","20,039","3,469","21,027","4,490","54,872","8,618","10,090","5,531","1,465","2,067","6,560",825,"35,156","3,634","12,334",262,"12,207","2,150","30,587","120,615"
,GEORGIA,"47,410","3,666","1,233","8,191",481,"60,981","10,763","7,804","1,440",733,"2,736","3,080",79,"26,635","11,814","2,295","1,872","14,228","2,963","33,172","120,788"
,HAWAII,"16,937","8,359","6,784","4,977","1,227","38,284","2,921","2,448",615,56,"2,255",710,137,"9,142","5,126","9,932",636,"1,772","1,267","18,733","66,159"
,IDAHO,52,36,28,"3,086",5,"3,207","2,965",746,158,105,"1,186",24,1,"5,185",661,61,0,573,56,"1,351","9,743"
,ILLINOIS,988,"10,174",369,"4,117",135,"15,783","9,940","6,234","2,534","1,303","2,853","1,472",62,"24,398","6,788","1,035",21,"3,447","1,214","12,505","52,686"
,INDIANA,553,84,194,84,35,950,"11,380","3,181",387,601,"1,773","1,555",12,"18,889","1,891","3,486",240,820,"4,231","10,668","30,507"
,IOWA,99,20,73,25,31,248,"6,744","1,891",145,127,"1,742",0,0,"10,649",950,7,1,443,58,"1,459","12,356"
,KANSAS,"18,201",72,84,"3,009",105,"21,471","4,844","2,585",103,190,"2,014",696,22,"10,454","5,500",3,1,986,345,"6,835","38,760"
,KENTUCKY,"28,766",7,80,186,158,"29,197","6,573","4,100",236,279,"1,217",4,64,"12,473","8,595",18,3,266,905,"9,787","51,457"
,LOUISIANA,"8,256",402,685,"4,887","1,190","15,420","9,427","1,988","1,177","3,647","1,528","1,446",149,"19,362","3,339",536,251,"1,527",279,"5,932","40,714"
,MAINE,48,246,26,11,558,889,"2,018",479,108,145,"1,093",0,60,"3,903",290,"6,348",0,284,776,"7,698","12,490"
,MARYLAND,"8,571","9,673","1,720","7,956",885,"28,805","4,726","5,776","3,435",490,"1,744","1,900",175,"18,246","16,245","16,334",114,"3,059","8,233","43,985","91,036"
,MASSACHUSETTS,361,389,167,"1,045","1,575","3,537","5,998","3,219",303,858,"2,164","2,149",402,"15,093","2,259",169,4,"3,122",846,"6,400","25,030"
,MICHIGAN,459,240,233,98,"1,095","2,125","7,569","2,992",873,949,"2,339",1,124,"14,847","6,638",33,9,790,"1,665","9,135","26,107"
,MINNESOTA,158,173,112,52,131,626,"10,732","3,011",602,475,"2,270","1,351",31,"18,472","1,275",19,2,858,176,"2,330","21,428"
,MISSISSIPPI,466,"2,638",407,"6,168",273,"9,952","9,406","1,755",695,73,"2,508","1,444",131,"16,012","3,699","2,490",0,"2,378",302,"8,869","34,833"
,MISSOURI,"9,737",340,"1,294","4,086",192,"15,649","9,336","4,722","1,155",785,"2,285","1,115",93,"19,491","5,471",51,128,"1,244",675,"7,569","42,709"
,MONTANA,60,6,18,"3,199",0,"3,283","2,606",694,104,66,989,22,0,"4,481",464,2,0,799,49,"1,314","9,078"
,NEBRASKA,182,416,76,"5,193",19,"5,886","3,346","1,255",299,127,972,260,0,"6,259","1,304",45,3,"2,662",105,"4,119","16,264"
,NEVADA,153,959,46,"8,904",0,"10,062","2,746","1,610",392,199,"1,142","1,205",0,"7,294",368,304,1,"1,536",172,"2,381","19,737"
,NEW HAMPSHIRE,50,254,63,147,259,773,"1,581",797,244,205,"1,129",2,16,"3,974",451,12,3,333,184,983,"5,730"
,NEW JERSEY,626,459,316,"4,294","2,054","7,749","6,021","4,137","1,232","1,158","2,403","2,330",200,"17,481","5,165","2,256",8,"2,025",608,"10,062","35,292"
,NEW MEXICO,278,61,62,"11,376",4,"11,781","2,703",839,188,72,1008,236,1,"5,047","2,300",94,1,"3,581",404,"6,380","23,208"
,NEW YORK,"16,727","2,054",655,373,"1,025","20,834","10,041","8,001","1,665","1,850","5,602","1,216",406,"28,781","6,594",110,31,"2,119","2,001","10,855","60,470"
,NORTH CAROLINA,"43,190","4,178","40,573","5,646","1,684","95,271","10,060","6,586","1,104",793,"1,538","1,828",186,"22,095","10,294","4,701","2,888","1,195","2,501","21,579","138,945"
,NORTH DAKOTA,20,8,16,"7,049",1,"7,094","2,986",147,64,55,1005,31,0,"4,288",477,3,1,"1,128",72,"1,681","13,063"
,OHIO,473,286,253,"5,245",399,"6,656","11,364","5,504","1,220","1,018","4,691","3,497",242,"27,536","1,501",105,3,"14,469","9,532","25,610","59,802"
,OKLAHOMA,"11,263","1,317",367,"6,529",43,"19,519","6,554","2,272",457,320,"2,152","1,793",3,"13,551","5,253",103,7,"16,916","1,671","23,950","57,020"
,OREGON,115,174,104,133,975,"1,501","5,820",593,486,343,"2,271",112,116,"9,741","2,274",27,3,638,18,"2,960","14,202"
,PENNSYLVANIA,996,709,400,224,314,"2,643","15,054","7,996",856,"1,356","3,863","1,216",124,"30,465","8,069","6,341",23,"1,081","8,034","23,548","56,656"
,RHODE ISLAND,153,"2,545",240,66,305,"3,309","2,000",536,559,99,938,3,42,"4,177",218,"4,146",3,185,102,"4,654","12,140"
,SOUTH CAROLINA,"11,662","6,917","10,252","7,015",756,"36,602","8,993","4,269",613,400,"1,346","2,270",158,"18,049","3,393","3,213",754,"1,892",789,"10,041","64,692"
,SOUTH DAKOTA,65,4,8,"3,149",0,"3,226","3,088",355,85,0,"1,044",23,0,"4,595",481,1,0,805,52,"1,339","9,160"
,TENNESSEE,334,"1,362",143,156,157,"2,152","9,533","3,820","1,221",704,"3,246",2,47,"18,573","3,099","1,220",3,"1,108",618,"6,048","26,773"
,TEXAS,"64,308","6,112","1,971","37,021","1,720","111,132","17,898","18,066","5,037","3,223","3,369","5,375",342,"53,310","25,417","1,389",32,"15,982","4,514","47,334","211,776"
,UTAH,170,28,109,"3,717",0,"4,024","5,345","3,000",334,239,"1,411","1,349",0,"11,678","1,816",46,2,"12,193","1,062","15,119","30,821"
,VERMONT,45,7,9,53,31,145,"2,672",157,49,0,"1,036",0,2,"3,916",285,2,0,270,29,586,"4,647"
,VIRGINIA,"22,346","40,188","10,680","12,285","4,209","89,708","6,647","7,940","5,204","1,429","1,318","1,933",465,"24,936","17,984","40,932","5,129","5,959","23,940","93,944","208,588"
,WASHINGTON,"26,616","10,144",613,"5,713","1,963","45,049","5,813","5,992","2,104",575,"1,824","1,967",386,"18,661","9,496","19,059",2,"1,433","1,217","31,207","94,917"
,WEST VIRGINIA,60,6,43,32,68,209,"4,013","1,606",74,83,"2,150",0,20,"7,946","1,186",4,1,516,48,"1,755","9,910"
,WISCONSIN,422,33,107,78,292,932,"7,206","3,851",358,463,"2,290",0,84,"14,252","1,839",63,2,512,116,"2,532","17,716"
,WYOMING,38,1,7,"2,882",0,"2,928","1,459",83,62,0,"1,095",36,0,"2,735",222,2,0,750,42,"1,016","6,679"
,UNKNOWN,"5,916",0,0,0,0,"5,916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,916"
UNITED STATES TOTAL,,"403,902","282,609","151,988","252,538","38,600","1,129,637","327,263","186,433","54,979","34,873","101,521","67,169","6,510","778,748","235,402","183,728","17,440","163,930","98,179","698,679","2,607,064"
OVERSEAS,AFGHANISTAN,"6,846",257,900,"1,020",4,"9,027",609,677,188,123,57,122,0,"1,776",992,180,40,245,229,"1,686","12,489"
,ALGERIA,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,AMERICAN SAMOA,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,0,0,0,0,9,12
,ANGOLA,3,0,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,ARGENTINA,0,4,7,8,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,2,21
,ARMENIA,2,0,1,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5
,AUSTRALIA,32,78,928,74,0,"1,112",0,0,0,0,0,0,0,0,5,6,0,4,1,16,"1,128"
,AUSTRIA,0,1,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,AZERBAIJAN,1,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
,"BAHAMAS, THE",1,48,1,0,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
,BAHRAIN,41,"4,315",904,24,86,"5,370",40,29,443,37,2,6,0,557,15,329,0,1,146,491,"6,418"
,BANGLADESH,3,0,36,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
,BARBADOS,2,0,5,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,BASSAS DA INDIA,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,BELARUS,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,BELGIUM,565,41,3,243,0,852,0,3,0,0,0,6,0,9,359,0,0,7,286,652,1513
,BELIZE,1,1,12,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,BOLIVIA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BOSNIA AND HERZEGOVINA,1,0,0,6,0,7,0,0,0,0,0,0,0,0,2,1,0,0,0,3,10
,BOTSWANA,5,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,BRAZIL,10,10,24,7,1,52,0,0,0,0,0,0,0,0,7,3,0,2,0,12,64
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BRITISH INDIAN OCEAN TERRITORY,0,258,0,36,0,294,0,0,0,0,0,0,0,0,0,4,0,0,0,4,298
