Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of September 30, 2017",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File, Civilian Deployment",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,579",131,151,"2,984",905,"8,750","9,640","4,641",275,689,"2,246","1,217",94,"18,802","17,467",111,5,"2,367","3,449","23,399","50,951"
,ALASKA,"8,355",49,19,"6,971","1,908","17,302","1,731",361,57,49,"2,007",350,38,"4,593","2,169",5,0,"2,302",306,"4,782","26,677"
,ARIZONA,"4,271",385,"4,331","9,305",5,"18,297","5,305","3,511",905,616,"2,486","2,145",0,"14,968","3,797",183,456,"3,258","1,165","8,859","42,124"
,ARKANSAS,121,9,165,"2,875",20,"3,190","5,994","1,703",147,143,"1,840",448,0,"10,275","2,209",7,0,998,106,"3,320","16,785"
,ARMED FORCES EUROPE,533,"34,003",18,221,37,"34,812",0,0,134,0,0,0,0,134,0,0,0,0,0,0,"34,946"
,ARMED FORCES PACIFIC,0,"46,789","2,140",0,0,"48,929",0,1,216,0,0,0,0,217,0,0,0,0,0,0,"49,146"
,ARMED FORCES THE AMERICAS,0,"4,737",0,0,22,"4,759",0,0,52,0,0,0,0,52,0,0,0,0,0,0,"4,811"
,CALIFORNIA,"6,567","44,838","55,101","17,243","4,624","128,373","14,242","15,910","7,791","5,423","4,509","7,466",826,"56,167","8,818","32,549","4,333","9,790","6,029","61,519","246,059"
,COLORADO,"25,039",753,218,"8,404",46,"34,460","3,766","3,660",894,405,"1,479","2,966",6,"13,176","4,267",59,3,"5,472","1,478","11,279","58,915"
,CONNECTICUT,106,"3,780",59,32,664,"4,641","3,501","1,331",405,273,"1,028",1,74,"6,613",518,"1,125",0,224,633,"2,500","13,754"
,DELAWARE,68,19,16,"3,051",42,"3,196","1,532",481,123,157,"1,111","1,562",6,"4,972",214,2,2,"1,037",115,"1,370","9,538"
,DISTRICT OF COLUMBIA,"1,647","2,536","2,197","1,767","1,705","9,852","1,336",491,103,635,"1,265",261,148,"4,239","1,316","10,195",27,328,766,"12,632","26,723"
,FLORIDA,"5,349","21,216","3,483","21,088","4,726","55,862","9,634","10,042","5,570","1,632","2,077","6,578",854,"36,387","3,722","12,353",261,"12,105","2,157","30,598","122,847"
,GEORGIA,"47,788","3,566","1,235","8,248",485,"61,322","11,049","7,761","1,388",763,"2,690","3,045",71,"26,767","11,542","2,385","1,833","14,160","2,902","32,822","120,911"
,HAWAII,"16,313","7,792","6,370","4,937","1,208","36,620","3,053","2,472",611,281,"2,144",722,119,"9,402","5,137","10,071",611,"1,674","1,246","18,739","64,761"
,IDAHO,52,38,29,"3,244",4,"3,367","3,053",734,157,113,"1,351",26,0,"5,434",682,69,0,670,51,"1,472","10,273"
,ILLINOIS,928,"14,913",362,"4,229",135,"20,567","9,836","6,476","2,271","1,305","3,011","1,448",52,"24,399","6,842","1,026",28,"3,436","1,190","12,522","57,488"
,INDIANA,547,100,192,87,37,963,"11,637","2,840",381,631,"1,831","1,534",9,"18,863","1,904","3,573",232,831,"4,337","10,877","30,703"
,IOWA,94,21,66,32,35,248,"6,810","2,026",152,128,"1,659",0,0,"10,775",936,5,1,426,63,"1,431","12,454"
,KANSAS,"18,555",63,84,"2,799",103,"21,604","4,179","2,578",107,189,"1,985",604,22,"9,664","5,424",5,1,999,331,"6,760","38,028"
,KENTUCKY,"30,960",8,80,209,161,"31,418","6,529","4,227",250,257,"1,241",3,61,"12,568","8,646",18,3,303,979,"9,949","53,935"
,LOUISIANA,"5,953",397,669,"4,924","1,179","13,122","9,554","1,960","1,166","1,226","1,481","1,428",179,"16,994","3,240",526,221,"1,589",267,"5,843","35,959"
,MAINE,41,161,27,10,572,811,"1,967",431,98,174,"1,078",0,56,"3,804",286,"6,439",0,277,787,"7,789","12,404"
