Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of September 30, 2018",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,614",73,147,"3,121",945,"8,900","10,028","4,682",277,609,"2,402","1,425",101,"19,524","17,857",109,5,"2,342","3,428","23,741","52,165"
,ALASKA,"10,579",46,18,"7,089","1,936","19,668","1,638",329,65,55,"2,147",353,44,"4,631","2,234",6,0,"2,295",301,"4,836","29,135"
,ARIZONA,"4,182",374,"4,106","10,187",5,"18,854","5,181","3,357",972,573,"2,484","2,428",0,"14,995","3,731",183,459,"3,267","1,207","8,847","42,696"
,ARKANSAS,123,11,144,"3,251",21,"3,550","6,563","1,632",136,126,"1,919",426,0,"10,802","2,302",8,0,"1,021",97,"3,428","17,780"
,ARMED FORCES EUROPE,0,0,0,0,0,0,0,"1,249",0,0,0,0,0,"1,249",0,0,0,0,0,0,"1,249"
,ARMED FORCES PACIFIC,0,0,0,0,0,0,0,386,0,0,0,0,0,386,0,0,0,0,0,0,386
,CALIFORNIA,"6,988","71,458","56,964","18,076","4,776","158,262","13,349","16,119","8,149","5,430","4,711","7,510",817,"56,085","8,722","33,930","4,449","9,679","5,971","62,751","277,098"
,COLORADO,"25,083",764,220,"8,942",45,"35,054","3,793","3,577",937,476,"1,622","3,151",12,"13,568","4,379",67,3,"5,415","1,426","11,290","59,912"
,CONNECTICUT,116,"5,337",57,37,654,"6,201","3,538","1,201",398,271,"1,199",1,83,"6,691",476,"1,121",0,227,638,"2,462","15,354"
,DELAWARE,68,20,18,"3,400",39,"3,545","1,548",511,125,153,"1,108","1,543",10,"4,998",227,4,2,966,114,"1,313","9,856"
,DISTRICT OF COLUMBIA,"1,557","2,479","2,243","1,797","1,759","9,835","1,269",466,133,658,"1,312",247,159,"4,244","1,366","10,261",25,338,762,"12,752","26,831"
,FLORIDA,"5,735","27,479","3,561","23,467","5,025","65,267","9,300","10,299","5,754","1,658","2,186","6,613",805,"36,615","3,784","12,881",276,"12,198","2,228","31,367","133,249"
,GEORGIA,"48,846","5,944","1,290","9,268",502,"65,850","11,050","7,655","1,407",769,"2,822","3,055",66,"26,824","11,806","2,527","1,813","14,727","2,979","33,852","126,526"
