Location,Population
CHINA,1412600000
INDIA,1375802500
UNITED STATES,332651341
INDONESIA,272248500
PAKISTAN,225199937
BRAZIL,214571756
NIGERIA,211400708
BANGLADESH,172636428
RUSSIA,145478097
MEXICO,127996051
JAPAN,125502000
ETHIOPIA,117876000
PHILIPPINES,111820422
EGYPT,103228930
VIETNAM,98505400
DR CONGO,92378000
IRAN,85399039
TURKEY,84680273
GERMANY,83222442
FRANCE,67841000
UNITED KINGDOM,67081000
THAILAND,66782330
SOUTH AFRICA,60142978
TANZANIA,59441988
ITALY,58952787
MYANMAR,55294979
SOUTH KOREA,51610695
COLOMBIA,51049498
KENYA,47564296
SPAIN,47326687
ARGENTINA,45808747
ALGERIA,45400000
SUDAN,44390470
UGANDA,42885900
IRAQ,41190700
UKRAINE,41130432
CANADA,38668281
POLAND,38057000
MOROCCO,36587642
UZBEKISTAN,35512937
SAUDI ARABIA,35013414
PERU,33035304
AFGHANISTAN,32890171
MALAYSIA,32712400
ANGOLA,32097671
MOZAMBIQUE,30832244
GHANA,30832019
YEMEN,30491000
NEPAL,29192480
VENEZUELA,28705000
IVORY COAST,27087732
MADAGASCAR,26923353
AUSTRALIA,25989987
NORTH KOREA,25660000
CAMEROON,24348251
NIGER,24112753
TAIWAN,23375314
SRI LANKA,22156000
BURKINA FASO,21510181
MALI,20856000
CHILE,19678363
KAZAKHSTAN,19212544
ROMANIA,19186201
MALAWI,18898441
ZAMBIA,18400556
SYRIA,18276000
ECUADOR,17969132
NETHERLANDS,17716331
SENEGAL,17223497
GUATEMALA,17109746
CHAD,16818391
SOMALIA,16360000
ZIMBABWE,15790716
CAMBODIA,15552211
SOUTH SUDAN,13249924
RWANDA,12955768
GUINEA,12907395
BURUNDI,12574571
BENIN,12506347
BOLIVIA,11797257
TUNISIA,11746695
HAITI,11743017
BELGIUM,11629213
JORDAN,11198188
CUBA,11181595
GREECE,10678632
DOMINICAN REPUBLIC,10535535
CZECH REPUBLIC,10516707
SWEDEN,10462498
PORTUGAL,10347892
AZERBAIJAN,10156366
HUNGARY,9689000
HONDURAS,9546178
ISRAEL,9509660
TAJIKISTAN,9506000
BELARUS,9349645
UNITED ARAB EMIRATES,9282410
PAPUA NEW GUINEA,9122994
AUSTRIA,9027999
SWITZERLAND,8736500
SIERRA LEONE,8297882
TOGO,7886000
